IDs,Networks,Ratings
1,CBS,6.5
2,CBS,8.9
3,CTV Sci-Fi Channel,7.5
4,The CW,7.4
5,HBO,8.3
6,The CW,7.7
7,Showtime,8.2
8,FOX,6.8
9,ABC,7.8
10,NBC,8.5
11,FOX,7.7
12,Showcase,8.1
13,The CW,7.8
14,Showcase,8.2
15,NBC,7.5
16,Showtime,8.3
18,CBS,7.8
19,The CW,8.4
20,FX,7.5
21,TNT,7.5
22,HBO,7.8
23,ABC,6.7
24,CBS,7.6
25,Fuji TV,7.8
26,TBS,8.3
27,NTV,8.8
28,Showtime,8.0
29,History,8.7
30,FX,7.8
31,ABC,8.0
32,FX,8.9
33,Null,7.0
34,Syfy,6.6
35,AMC,8.3
37,BBC America,6.8
38,Syfy,7.3
39,ABC,7.3
40,NTV,8.6
41,FOX,7.9
42,FOX,7.5
43,Starz,8.1
44,CBS,7.3
45,CBS,7.8
46,ABC,8.3
47,Lifetime,7.6
48,CBS,7.8
49,NBC,8.2
50,Lifetime,6.5
51,Cinemax,8.5
52,ABC,7.5
53,CMT,7.4
54,TNT,7.5
55,FOX,7.5
56,NBC,8.4
57,ABC,6.9
58,FOX,7.2
59,NBC,8.4
60,CBS,8.2
61,CTV Sci-Fi Channel,8.6
62,The CW,8.3
63,The CW,8.0
64,Channel 4,8.6
65,FOX,8.2
66,CBS,7.9
67,ABC,8.0
68,ABC,8.3
69,NBC,8.2
70,NBC,6.9
71,ABC,5.5
72,CBS,8.0
73,AMC,8.1
74,AMC,8.5
75,Null,7.2
76,FX,8.7
77,ABC,7.9
78,NBC,7.6
79,ABC,7.7
80,ABC,7.7
81,CBS,8.2
82,HBO,9.1
83,FOX,8.2
84,FOX,7.8
86,CBS,7.5
87,FX,7.4
88,The CW,7.5
89,A&E,7.4
90,Syfy,8.2
91,NBC,7.6
92,NBC,6.7
93,NBC,8.0
94,Syfy,7.7
95,TNT,7.6
96,ABC,5.1
97,USA Network,
98,ABC,7.9
99,VH1,5.6
100,CBS,8.3
101,CBS,8.5
102,HBO,8.5
103,NBC,8.1
104,Syfy,7.1
105,El Rey Network,6.5
106,FX,8.8
107,FOX,8.0
108,FOX,6.0
109,CBS,8.3
110,FOX,7.7
111,ABC,7.5
112,Comedy Central,8.6
114,CBS,8.3
115,FOX,8.3
116,CBS,8.3
117,Disney XD,7.9
118,FOX,9.0
120,Null,7.2
122,The CW,8.0
123,ABC,8.3
124,CBS,7.1
125,ABC,7.0
126,CBS,7.6
127,Showtime,7.7
128,The CW,7.6
129,NBC,6.0
130,CBS,6.6
131,NBC,6.9
132,CBS,6.4
133,CBS,8.3
134,NBC,7.7
136,CBS,6.5
137,ABC,7.1
138,HBO,8.2
139,HBO,6.7
140,HBO,6.8
141,HBO,7.8
142,HBO,8.0
143,HBO,8.5
144,HBO,8.0
145,Showtime,7.8
146,Showtime,8.0
147,Showtime,8.0
148,Showtime,7.0
149,Showtime,7.3
150,Showtime,8.5
151,HBO,8.8
152,Showtime,8.3
153,FOX,
154,Syfy,7.8
155,The CW,7.2
156,Showtime,8.1
157,FX,8.6
158,FOX,8.8
159,NBC,6.5
160,Showtime,7.9
161,Showtime,8.5
162,HBO,8.5
163,FOX,8.1
164,Cinemax,8.8
165,NBC,6.1
166,Syfy,8.9
167,FOX,8.6
168,NBC,8.5
169,AMC,9.2
170,Null,8.0
171,CBS,7.9
172,USA Network,8.3
174,NBC,8.5
175,Null,8.4
176,MTV,8.2
177,FreeForm,7.6
178,Nickelodeon,8.7
179,HBO,9.2
180,FOX,9.2
181,CBS,7.3
182,Starz,8.5
183,FX,7.9
184,Null,8.1
185,WGN America,7.3
186,AMC,8.3
187,CBS,6.7
188,NBC,7.4
189,The CW,6.6
190,NBC,7.2
191,AMC,8.2
192,HBO,6.4
193,FOX,5.2
194,NBC,8.4
195,A&E,8.1
196,FOX,7.0
197,Null,8.0
198,FreeForm,7.8
199,ABC,7.8
200,The CW,7.4
201,Lifetime,8.3
202,FOX,7.7
203,The CW,6.3
204,Syfy,9.2
205,USA Network,7.3
206,Syfy,8.9
207,Syfy,8.1
208,Starz,
209,Starz,7.3
210,BBC One,8.4
211,ABC,6.4
212,FOX,7.0
213,ABC,7.2
214,Audience Network,7.9
215,TBS,7.4
216,Adult Swim,9.0
217,CBS,6.1
218,Syfy,7.5
219,Syfy,7.4
220,TF1,7.9
221,Sundance TV,8.2
222,MTV,8.2
224,FreeForm,7.5
225,FreeForm,7.1
226,CBS,7.4
227,TNT,7.4
228,ABC,7.3
229,ABC,7.2
230,NBC,6.9
231,CBS,7.9
232,ABC,6.6
233,NBC,7.3
234,ABC,6.7
235,NBC,7.3
236,ABC,7.3
237,NBC,7.5
238,TNT,6.3
239,FX,6.6
240,Paramount Network,7.8
241,USA Network,6.6
242,ITV,7.0
243,TBS,7.5
244,CBC,7.2
245,Syfy,
246,BBC Two,
247,Comedy Central,7.5
248,The Movie Network,7.2
249,Comedy Central,8.2
250,Disney XD,
251,ITV,9.1
252,Disney Channel,7.8
253,FOX,7.2
254,ESPN2,9.0
255,CNN,8.1
256,AMC,8.1
257,Comedy Central,7.1
258,E4,8.2
259,National Geographic Channel,
260,Comedy Central,6.0
261,E!,4.5
262,BBC One,7.6
263,HBO,8.7
265,CBS,8.5
266,Sky 1,
267,Null,7.6
268,City,6.0
269,BBC One,8.8
270,FXX,7.7
271,CTV,8.0
272,AMC,7.1
273,Adult Swim,7.8
274,BBC Three,7.4
275,FXX,5.8
276,BBC One,8.7
277,Comedy Central,7.7
278,Syfy,8.3
279,HBO,5.7
280,TNT,7.7
281,BBC Two,8.4
282,MTV,6.6
283,MTV,7.5
284,ITV,7.8
285,Hallmark Movies & Mysteries,8.3
286,BBC One,8.3
287,Comedy Central,
288,ABC,5.8
289,NBC,6.1
290,Cartoon Network,8.2
291,CTV,8.1
292,NBC,4.5
293,BBC Four,
294,NBC,8.2
295,Bravo,8.7
296,History,5.6
297,NBC,7.4
298,FreeForm,7.7
299,Starz,8.2
300,TNT,7.9
301,The CW,8.2
302,Null,8.0
303,Null,7.3
304,Adult Swim,9.0
305,Null,8.8
306,ITV,8.5
307,BBC Three,6.8
308,El Rey Network,7.0
309,Audience Network,7.7
310,FX,5.7
311,USA Network,7.6
312,FXX,7.8
313,ITV2,7.4
314,Showtime,8.1
315,FXX,8.7
316,BBC One,8.2
317,ITV,8.0
318,Null,8.3
319,TBS,7.8
320,BBC Two,8.0
321,Null,8.5
322,BET,7.0
323,USA Network,8.3
324,FOX,6.5
325,BET,7.9
326,CBS,7.0
327,Comedy Central,6.8
328,ITV,8.8
